Date,Sales,Baseline_Pred,ARIMA_Pred,Prophet_Pred
2017-10-02,5418.022,1274.480857142857,2221.8446754476613,2732.492660817972
2017-10-03,2504.48,1274.480857142857,2307.086103316553,2032.6239455679925
2017-10-04,19.98,1274.480857142857,2401.822684678191,990.5981203762382
2017-10-05,6684.616,1274.480857142857,2084.496455951842,1866.3454900999645
2017-10-06,1499.652,1274.480857142857,2562.290258433469,2245.696948107572
2017-10-07,2749.21,1274.480857142857,2228.1330752709596,1902.2200354354734
2017-10-08,608.356,1274.480857142857,2648.6482835081697,1945.7196180196677
2017-10-09,1496.589,1274.480857142857,2368.105660611239,2127.594667245607
2017-10-10,239.358,1274.480857142857,2382.3610868975,1465.4932270837276
2017-10-11,0.0,1274.480857142857,2252.062232405186,468.5895031713137
2017-10-12,5635.354,1274.480857142857,2327.690557529381,1396.3625202961257
2017-10-13,8405.802,1274.480857142857,2347.706563888101,1834.090017874011
2017-10-14,134.332,1274.480857142857,2322.5454992055193,1554.6892981462602
2017-10-15,1017.94,1274.480857142857,2426.9980368483616,1667.224339133188
2017-10-16,3473.5969999999998,1274.480857142857,2430.1149605498344,1922.2706483576744
2017-10-17,126.352,1274.480857142857,2430.1149605498344,1336.579901536462
2017-10-18,0.0,1274.480857142857,2430.1149605498344,418.36823065942895
2017-10-19,2781.8702000000003,1274.480857142857,2430.1149605498344,1426.1075035799854
2017-10-20,1333.858,1274.480857142857,2430.1149605498344,1944.0331263748733
2017-10-21,4537.201,1274.480857142857,2430.1149605498344,1743.9999107532944
2017-10-22,15158.877,1274.480857142857,2430.1149605498344,1934.005113036292
2017-10-23,3352.3940000000002,1274.480857142857,2430.1149605498344,2263.5698840206805
2017-10-24,529.0849999999999,1274.480857142857,2430.1149605498344,1748.4209087218733
2017-10-25,0.0,1274.480857142857,2430.1149605498344,895.7958106906469
2017-10-26,999.868,1274.480857142857,2430.1149605498344,1963.2513532568353
2017-10-27,1086.32,1274.480857142857,2430.1149605498344,2534.1876448870094
2017-10-28,408.726,1274.480857142857,2430.1149605498344,2379.7195587734436
2017-10-29,46.96,1274.480857142857,2430.1149605498344,2607.2141399333414
2017-10-30,4025.7299999999996,1274.480857142857,2430.1149605498344,2965.684912339333
